"11","ad_1_Content_Ads_1_1381658798_Add New Patient - Google Chrome_034.png","asdf","Side_Ads","5"
"1","a","a","a","a","a","aa","1","a","0","2013-11-01","2013-11-30","1"
"1","1","x"
"7","aa","aa","aa","aa","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic2_1381674410_Screenshotfrom2012-09-2719:08:11.png","bi_1_pic3_1381674410_Screenshotfrom2013-02-0915:51:37.png","1","0000-00-00 00:00:00","0"
"8","a","aa","aa","aa","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","0","0000-00-00 00:00:00","0"
"9","b","aa","aa","aa","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","1","2013-10-21 00:00:00","1"
"10","c","aa","aa","aa","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","1","2013-10-21 00:00:00","1"
"11","d","aa","aa","aa","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","1","2013-10-21 00:00:00","1"
"12","e","aa","aa","aa","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","1","2013-10-21 00:00:00","1"
"13","f","aa","aa","aa","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","1","2013-10-21 00:00:00","1"
"14","g","aa","aa","aa","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","1","2013-10-21 00:00:00","1"
"15","h","aa","aa","aa","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","1","2013-10-21 00:00:00","1"
"16","i","aa","aa","aa","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","1","2013-10-21 00:00:00","1"
"17","j","aa","aa","aa","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","1","2013-10-21 00:00:00","1"
"18","k","aa","aa","aa","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","1","2013-10-21 00:00:00","1"
"19","l","aa","aa","aa","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","1","2013-10-21 00:00:00","1"
"20","m","aa","aa","aa","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","1","2013-10-21 00:00:00","1"
"21","n","aa","aa","aa","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","bi_1_pic1_1381674410_root@mingLaptop:-home-nikom2532_029.png","1","2013-10-21 00:00:00","1"
"1","a@a.com","77de54ccf56eb6f7dbf99e4d3be949ab6f9b0a55df8ac28564cb9f63a10be8af6ab3f7c2","a","a","a","user_1__CN5:-Sensory-and-Motor-Mastication---Google-Chrome_052.png","1","1","1","2013-11-07",,"0",,,"0","0",,,,,,,"0",,"home","1","0",,,,"0",,
"1","1",,,,,
"8","1","3","5","2013-10-01","2013-10-23","6"
"9","1","6","7","2013-10-01","2013-10-11","8"
"3","1","ab"
